"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"	"Kruskal_test"	"Dunn_AD-AP"	"Dunn_AD-CON"	"Dunn_AP-CON"
"113"	"127"	"108"	" 93"	"125"	" 81"	"106"	"140"	"173"	"122"	" 88"	"143"	"150"	" 95"	"151"	"125"	" 76"	"132"	0.445163014894103	1	0.911944205185828	1
"113.0000"	"127.0000"	"108.0000"	" 93.0000"	"125.3333"	" 81.0000"	"106.0000"	"140.0000"	"173.0000"	"122.1667"	" 88.0000"	"143.0000"	"150.0000"	" 95.0000"	"151.0000"	"125.0000"	" 76.0000"	"132.0000"	0.470299306363909	1	0.991170146546383	1
"0.0000000"	"0.2490138"	"0.0000000"	"0.2486523"	"0.9254451"	"0.2484520"	"0.0000000"	"0.0000000"	"0.0000000"	"0.5433371"	"0.0000000"	"0.0000000"	"0.0000000"	"0.0000000"	"0.0000000"	"0.1659987"	"0.0000000"	"0.0000000"	0.102332639691943	0.263573919344229	0.148437964573615	1
"113.00000"	"127.17624"	"108.00000"	" 93.19385"	"125.54275"	" 81.14035"	"106.00000"	"140.00000"	"173.00000"	"122.58084"	" 88.00000"	"143.00000"	"150.00000"	" 95.00000"	"151.00000"	"125.18590"	" 76.00000"	"132.00000"	0.470299306363909	1	0.991170146546383	1
"3.975589"	"4.312869"	"3.872983"	"3.699375"	"4.748587"	"4.085068"	"4.805657"	"4.855042"	"5.044312"	"4.681719"	"4.177864"	"5.090784"	"5.279520"	"4.396171"	"5.021807"	"4.860186"	"3.838859"	"4.634358"	0.0469590406779789	0.0601880216948426	0.175239940393165	1
"3.566290"	"3.357788"	"3.083309"	"3.015736"	"3.445538"	"2.743352"	"2.873746"	"3.277311"	"3.703648"	"3.189721"	"2.663254"	"3.563515"	"3.183323"	"1.871346"	"3.631009"	"3.260624"	"2.591213"	"2.323612"	0.420842310004952	1	0.83845610475338	0.702582914637643
"0.9455536"	"0.9222358"	"0.9116024"	"0.8879676"	"0.9213523"	"0.8707625"	"0.8616126"	"0.8993327"	"0.9434399"	"0.8909501"	"0.8523518"	"0.9174285"	"0.8592988"	"0.6151056"	"0.9270138"	"0.9128259"	"0.8447964"	"0.7061761"	0.181299967735863	1	0.197962116588441	0.838456104753379
"18.366703"	"12.859387"	"11.312520"	" 8.925993"	"12.714927"	" 7.737692"	" 7.226092"	" 9.933716"	"17.680313"	" 9.170113"	" 6.772858"	"12.110714"	" 7.107259"	" 2.598115"	"13.701214"	"11.471298"	" 6.443151"	" 3.403399"	0.181299967735863	0.702582914637643	1	0.838456104753379
"16.13734"	"17.85124"	"14.88354"	"13.52250"	"20.07690"	"11.45036"	"15.24708"	"20.86264"	"25.91024"	"17.78500"	"11.97421"	"22.38905"	"23.62689"	"12.71697"	"23.42588"	"18.65503"	"10.58724"	"18.15970"	0.459425824035926	0.702582914637643	1	1
"AD"	"AD"	"AD"	"AD"	"AD"	"AD"	"AP"	"AP"	"AP"	"AP"	"AP"	"AP"	"CON"	"CON"	"CON"	"CON"	"CON"	"CON"	0.000203468369010643	0.117750991403078	0.000112139455205104	0.117750991403078
